имя файла,архитектура модели,результат,уверенность модели
000000795.jpg,resnet18,Дефектный,0.9999
000000986.jpg,resnet18,Дефектный,0.9999
000001268.jpg,resnet18,Дефектный,0.9999
000006140.jpg,resnet18,Дефектный,0.9999
100009.jpg,resnet18,Дефектный,0.9999
100010.jpg,resnet18,Дефектный,1.0000
100015.jpg,resnet18,Дефектный,0.9999
100016.jpg,resnet18,Дефектный,0.9999
100017.jpg,resnet18,Дефектный,1.0000
100020.jpg,resnet18,Дефектный,1.0000
100023.jpg,resnet18,Дефектный,0.9999
100124.jpg,resnet18,Дефектный,1.0000
100136d.jpg,resnet18,Дефектный,1.0000
100137.jpg,resnet18,Дефектный,1.0000
100138.jpg,resnet18,Дефектный,1.0000
100184.jpg,resnet18,Дефектный,1.0000
100190.jpg,resnet18,Дефектный,1.0000
100200d.jpg,resnet18,Дефектный,1.0000
100201.jpg,resnet18,Дефектный,1.0000
100213.jpg,resnet18,Дефектный,0.9999
100220d.jpg,resnet18,Дефектный,1.0000
100228.jpg,resnet18,Дефектный,1.0000
100267.jpg,resnet18,Дефектный,1.0000
100268.jpg,resnet18,Дефектный,1.0000
100279.jpg,resnet18,Дефектный,0.9999
100280d.jpg,resnet18,Дефектный,0.9999
100281.jpg,resnet18,Дефектный,0.9999
100288.jpg,resnet18,Дефектный,0.9999
100293.jpg,resnet18,Дефектный,1.0000
100297.jpg,resnet18,Дефектный,1.0000
100299.jpg,resnet18,Дефектный,1.0000
110007.jpg,resnet18,Дефектный,1.0000
110008.jpg,resnet18,Дефектный,1.0000
110009.jpg,resnet18,Дефектный,1.0000
110018d.jpg,resnet18,Дефектный,1.0000
130012.jpg,resnet18,Дефектный,0.9999
130013.jpg,resnet18,Дефектный,0.9999
130015d.jpg,resnet18,Дефектный,0.9999
130019.jpg,resnet18,Дефектный,0.9999
130021.jpg,resnet18,Дефектный,1.0000
130024.jpg,resnet18,Дефектный,1.0000
130027d.jpg,resnet18,Дефектный,1.0000
130030.jpg,resnet18,Дефектный,1.0000
130031.jpg,resnet18,Дефектный,1.0000
130032.jpg,resnet18,Дефектный,1.0000
130037h.jpg,resnet18,Дефектный,0.9999
130038.jpg,resnet18,Дефектный,0.9999
130040d.jpg,resnet18,Дефектный,1.0000
130041.jpg,resnet18,Дефектный,1.0000
130045.jpg,resnet18,Дефектный,1.0000
130047.jpg,resnet18,Дефектный,1.0000
130060.jpg,resnet18,Дефектный,1.0000
130061.jpg,resnet18,Дефектный,0.9999
130064.jpg,resnet18,Дефектный,0.9999
130066.jpg,resnet18,Дефектный,1.0000
130107.jpg,resnet18,Дефектный,0.9999
130113.jpg,resnet18,Дефектный,0.9999
130119.jpg,resnet18,Дефектный,1.0000
130126.jpg,resnet18,Дефектный,1.0000
140004.jpg,resnet18,Дефектный,1.0000
140016.jpg,resnet18,Дефектный,1.0000
140021d.jpg,resnet18,Дефектный,1.0000
140027.jpg,resnet18,Дефектный,0.9999
140030.jpg,resnet18,Дефектный,0.9999
140031d.jpg,resnet18,Дефектный,0.9999
140032.jpg,resnet18,Дефектный,1.0000
140048.jpg,resnet18,Дефектный,0.9998
140049.jpg,resnet18,Дефектный,1.0000
140061.jpg,resnet18,Дефектный,1.0000
140064.jpg,resnet18,Дефектный,1.0000
140065.jpg,resnet18,Дефектный,1.0000
140069.jpg,resnet18,Дефектный,1.0000
140070.jpg,resnet18,Дефектный,0.9999
150039.jpg,resnet18,Дефектный,0.9999
150040.jpg,resnet18,Дефектный,0.9999
150091.jpg,resnet18,Дефектный,1.0000
150267.jpg,resnet18,Дефектный,0.9999
150344.jpg,resnet18,Дефектный,1.0000
150345d.jpg,resnet18,Дефектный,0.9999
150346.jpg,resnet18,Дефектный,0.9999
150347.jpg,resnet18,Дефектный,1.0000
150362.jpg,resnet18,Дефектный,1.0000
150394.jpg,resnet18,Дефектный,1.0000
150395d.jpg,resnet18,Дефектный,0.9999
150438.jpg,resnet18,Дефектный,0.9999
150446.jpg,resnet18,Дефектный,1.0000
