имя файла,архитектура модели,результат,уверенность модели
Image_1.jpg,resnet18,Исправный,1.0000
Image_10.jpg,resnet18,Исправный,1.0000
Image_100.jpg,resnet18,Исправный,1.0000
Image_101.jpg,resnet18,Исправный,1.0000
Image_101_1.jpg,resnet18,Исправный,1.0000
Image_102.jpg,resnet18,Исправный,1.0000
Image_103.jpg,resnet18,Исправный,1.0000
Image_104.jpg,resnet18,Исправный,1.0000
Image_104_1.jpg,resnet18,Исправный,1.0000
Image_105.jpg,resnet18,Исправный,1.0000
Image_105_1.jpg,resnet18,Исправный,1.0000
Image_106.jpg,resnet18,Исправный,1.0000
Image_106_1.jpg,resnet18,Исправный,1.0000
Image_107.jpg,resnet18,Исправный,1.0000
Image_107_1.jpg,resnet18,Исправный,1.0000
Image_108.jpg,resnet18,Исправный,1.0000
Image_108_1.jpg,resnet18,Исправный,1.0000
Image_109.jpg,resnet18,Исправный,1.0000
Image_109_1.jpg,resnet18,Исправный,1.0000
Image_10_1.jpg,resnet18,Исправный,1.0000
Image_11.jpg,resnet18,Исправный,1.0000
Image_110.jpg,resnet18,Исправный,1.0000
Image_110_1.jpg,resnet18,Исправный,1.0000
Image_111.jpg,resnet18,Исправный,1.0000
Image_111_1.jpg,resnet18,Исправный,1.0000
Image_112.jpg,resnet18,Исправный,1.0000
Image_112_1.jpg,resnet18,Исправный,1.0000
Image_113.jpg,resnet18,Исправный,1.0000
Image_114.jpg,resnet18,Исправный,1.0000
Image_114_1.jpg,resnet18,Исправный,1.0000
Image_115.jpg,resnet18,Исправный,1.0000
Image_115_1.jpg,resnet18,Исправный,1.0000
Image_116.jpg,resnet18,Исправный,1.0000
Image_116_1.jpg,resnet18,Исправный,1.0000
Image_117.jpg,resnet18,Исправный,1.0000
Image_118.jpg,resnet18,Исправный,1.0000
Image_118_1.jpg,resnet18,Исправный,1.0000
Image_119.jpg,resnet18,Исправный,1.0000
Image_119_1.jpg,resnet18,Исправный,1.0000
Image_12.jpg,resnet18,Исправный,1.0000
Image_120.jpg,resnet18,Исправный,1.0000
Image_120_1.jpg,resnet18,Исправный,1.0000
Image_121.jpg,resnet18,Исправный,1.0000
Image_121_1.jpg,resnet18,Исправный,1.0000
Image_122.jpg,resnet18,Исправный,1.0000
Image_122_1.jpg,resnet18,Исправный,1.0000
Image_123.jpg,resnet18,Исправный,1.0000
Image_124.jpg,resnet18,Исправный,1.0000
Image_124_1.jpg,resnet18,Исправный,1.0000
Image_125.jpg,resnet18,Исправный,1.0000
Image_126.jpg,resnet18,Исправный,1.0000
Image_127.jpg,resnet18,Исправный,1.0000
Image_127_1.jpg,resnet18,Исправный,1.0000
Image_128.jpg,resnet18,Исправный,1.0000
Image_128_1.jpg,resnet18,Исправный,1.0000
Image_129.jpg,resnet18,Исправный,1.0000
Image_129_1.jpg,resnet18,Исправный,1.0000
Image_130.jpg,resnet18,Исправный,1.0000
Image_130_1.jpg,resnet18,Исправный,1.0000
Image_131.jpg,resnet18,Исправный,1.0000
Image_131_1.jpg,resnet18,Исправный,1.0000
Image_132.jpg,resnet18,Исправный,1.0000
Image_132_1.jpg,resnet18,Исправный,1.0000
Image_133.jpg,resnet18,Исправный,1.0000
Image_134.jpg,resnet18,Исправный,1.0000
Image_134_1.jpg,resnet18,Исправный,1.0000
Image_135.jpg,resnet18,Исправный,1.0000
Image_135_1.jpg,resnet18,Исправный,1.0000
Image_136.jpg,resnet18,Исправный,1.0000
Image_137.jpg,resnet18,Исправный,1.0000
Image_138.jpg,resnet18,Исправный,1.0000
Image_138_1.jpg,resnet18,Исправный,1.0000
Image_139.jpg,resnet18,Исправный,1.0000
Image_14.jpg,resnet18,Исправный,1.0000
Image_140.jpg,resnet18,Исправный,1.0000
Image_141.jpg,resnet18,Исправный,1.0000
Image_142.jpg,resnet18,Исправный,1.0000
Image_142_1.jpg,resnet18,Исправный,1.0000
Image_143.jpg,resnet18,Исправный,1.0000
Image_143_1.jpg,resnet18,Исправный,1.0000
Image_144.jpg,resnet18,Исправный,1.0000
Image_145.jpg,resnet18,Исправный,1.0000
Image_145_1.jpg,resnet18,Исправный,1.0000
Image_146.jpg,resnet18,Исправный,1.0000
Image_146_1.jpg,resnet18,Исправный,1.0000
Image_147.jpg,resnet18,Исправный,1.0000
Image_147_1.jpg,resnet18,Исправный,1.0000
Image_148_1.jpg,resnet18,Исправный,1.0000
Image_149_1.jpg,resnet18,Исправный,1.0000
Image_14_1.jpg,resnet18,Исправный,1.0000
Image_15.jpg,resnet18,Исправный,1.0000
Image_150.jpg,resnet18,Исправный,1.0000
Image_150_1.jpg,resnet18,Исправный,1.0000
Image_151.jpg,resnet18,Исправный,1.0000
Image_151_1.jpg,resnet18,Исправный,1.0000
Image_152.jpg,resnet18,Исправный,1.0000
Image_152_1.jpg,resnet18,Исправный,1.0000
Image_153.jpg,resnet18,Исправный,1.0000
Image_153_1.jpg,resnet18,Исправный,1.0000
Image_154.jpg,resnet18,Исправный,1.0000
Image_154_1.jpg,resnet18,Исправный,1.0000
Image_155.jpg,resnet18,Исправный,1.0000
Image_156.jpg,resnet18,Исправный,1.0000
Image_157.jpg,resnet18,Исправный,1.0000
Image_159.jpg,resnet18,Исправный,1.0000
Image_159_1.jpg,resnet18,Исправный,1.0000
Image_161_1.jpg,resnet18,Исправный,1.0000
Image_162_1.jpg,resnet18,Исправный,1.0000
Image_163_1.jpg,resnet18,Исправный,1.0000
Image_164_1.jpg,resnet18,Исправный,1.0000
Image_166_1.jpg,resnet18,Исправный,1.0000
Image_167_1.jpg,resnet18,Исправный,1.0000
Image_168.jpg,resnet18,Исправный,1.0000
Image_168_1.jpg,resnet18,Исправный,1.0000
Image_169.jpg,resnet18,Исправный,1.0000
Image_169_1.jpg,resnet18,Исправный,1.0000
Image_17.jpg,resnet18,Исправный,1.0000
Image_170_1.jpg,resnet18,Исправный,1.0000
Image_171.jpg,resnet18,Исправный,1.0000
Image_171_1.jpg,resnet18,Исправный,1.0000
Image_172_1.jpg,resnet18,Исправный,1.0000
Image_173_1.jpg,resnet18,Исправный,1.0000
Image_174_1.jpg,resnet18,Исправный,1.0000
Image_175_1.jpg,resnet18,Исправный,1.0000
Image_176_1.jpg,resnet18,Исправный,1.0000
